id,name,faction,type,scope,decision,changes,reason,playsBefore,playsAfter
ares_capital_iron_war_camp,Iron War Camp,ARES,CAPITAL,faction,retained,{},Retain the 20-HP Capital and its conditional faction role: The first Character you summon each turn gains +1 Attack until your next turn.,0,0
ares_capital_red_citadel,Red Citadel,ARES,CAPITAL,faction,archetype only,"{""archetypes"": {""after"": [""FORTRESS""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,0,0
ares_capital_spearpoint_keep,Spearpoint Keep,ARES,CAPITAL,faction,archetype only,"{""archetypes"": {""after"": [""FORTRESS""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,0,0
ares_phobos_pursuer,Phobos Pursuer,ARES,CHARACTER,faction,retained,{},"Retain 1 GP: A2/D1, movement 4, range 1; stats-only body.",49,49
ares_redline_recruit,Redline Recruit,ARES,CHARACTER,faction,mechanical change,"{""defense"": {""after"": 2, ""before"": 1}, ""movement"": {""after"": 2, ""before"": 3}}",Differentiate the durable recruit from the fast Phobos Pursuer.,48,50
ares_keyword_bloodshield_recruit,Bloodshield Recruit,ARES,CHARACTER,faction,archetype only,"{""archetypes"": {""after"": [""HUMAN""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,40,39
ares_deimos_raidbike,Deimos Raidbike,ARES,CHARACTER,faction,retained,{},"Retain 2 GP: A3/D1, movement 4, range 1; keyword specialization BLINK.",33,28
ares_spearwall_breaker,Spearwall Breaker,ARES,CHARACTER,faction,retained,{},"Retain 2 GP: A3/D2, movement 3, range 1; stats-only body.",49,49
ares_bronze_arena_veteran,Bronze Arena Veteran,ARES,CHARACTER,faction,retained,{},"Retain 3 GP: A4/D3, movement 2, range 1; stats-only body.",45,43
ares_enyo_demolitionist,Enyo Demolitionist,ARES,CHARACTER,faction,retained,{},"Retain 3 GP: A4/D2, movement 2, range 2; stats-only body.",51,45
ares_fast_first_blood_champion,First-Blood Champion,ARES,CHARACTER,faction,retained,{},"Retain 3 GP: A4/D2, movement 3, range 1; keyword specialization FAST_STRIKE.",43,40
ares_keyword_flashblade_skirmisher,Flashblade Gatecrasher,ARES,CHARACTER,faction,retained,{},"Retain 3 GP: A4/D3, movement 2, range 1; keyword specialization SIEGE.",41,40
ares_spartan_exoframe,Spartan Exoframe,ARES,CHARACTER,faction,archetype only,"{""archetypes"": {""after"": [""AUTOMATON""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,32,31
ares_warhound_assault_pack,Warhound Assault Pack,ARES,CHARACTER,faction,retained,{},"Retain 4 GP: A5/D3, movement 4, range 1; stats-only body.",46,43
ares_ares_chariot_pilot,Ares Chariot Pilot,ARES,CHARACTER,faction,retained,{},"Retain 5 GP: A6/D4, movement 4, range 1; keyword specialization BLINK.",27,27
ares_sharp_battlement_javelinist,Battlement Javelinist,ARES,CHARACTER,faction,retained,{},"Retain 5 GP: A5/D4, movement 2, range 2; keyword specialization SHARP_SHOT.",18,19
ares_eris_riot_engine,Eris Riot Engine,ARES,CHARACTER,faction,archetype only,"{""archetypes"": {""after"": [""AUTOMATON""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,44,45
ares_keyword_phalanx_breaker,Phalanx Breaker,ARES,CHARACTER,faction,mechanical change,"{""defense"": {""after"": 4, ""before"": 5}}",Fast Strike and high mobility require a defensive tradeoff.,39,38
ares_titanblood_berserker,Titanblood Berserker,ARES,CHARACTER,faction,mechanical change,"{""cost"": {""after"": 5, ""before"": 6}}",Melee attacker without a keyword was behind nearby 5-GP options.,47,46
ares_siege_bronze_gatecrasher,Bronze Gatecrasher,ARES,CHARACTER,faction,retained,{},"Retain 6 GP: A7/D5, movement 2, range 1; keyword specialization SIEGE.",36,38
ares_ability_gate_ravager,Gate Ravager,ARES,CHARACTER,faction,retained,{},"Retain 6 GP: A7/D5, movement 2, range 1; keyword specialization SIEGE.",39,37
